HE InChI=1S/He
C6H12OOH2-1O InChI=1S/C6H13O3/c1-2-3-4-6(5-7)9-8/h6,8H,2-5H2,1H3
C6H12OOH2-3O2 InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h5-7H,3-4H2,1-2H3
C6H12OOH2-3O InChI=1S/C6H13O3/c1-3-4-6(7)5(2)9-8/h5-6,8H,3-4H2,1-2H3
C6H12OOH2-4O2 InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h5-7H,3-4H2,1-2H3
C6H12OOH2-4O InChI=1S/C6H13O3/c1-3-6(7)4-5(2)9-8/h5-6,8H,3-4H2,1-2H3
C6H12OOH2-5O2 InChI=1S/C6H13O4/c1-5(9-7)3-4-6(2)10-8/h5-7H,3-4H2,1-2H3
C6H12OOH2-5O InChI=1S/C6H13O3/c1-5(7)3-4-6(2)9-8/h5-6,8H,3-4H2,1-2H3
C6H12OOH2-6O2 InChI=1S/C6H13O4/c1-6(10-8)4-2-3-5-9-7/h6,8H,2-5H2,1H3
C6H12OOH2-6O InChI=1S/C6H13O3/c1-6(9-8)4-2-3-5-7/h6,8H,2-5H2,1H3
C6H12OOH3-1O2 InChI=1S/C6H13O4/c1-2-3-6(10-8)4-5-9-7/h6,8H,2-5H2,1H3
C6H12OOH3-1O InChI=1S/C6H13O3/c1-2-3-6(9-8)4-5-7/h6,8H,2-5H2,1H3
C6H12OOH3-2O2 InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h5-6,8H,3-4H2,1-2H3
C6H12OOH3-2O InChI=1S/C6H13O3/c1-3-4-6(9-8)5(2)7/h5-6,8H,3-4H2,1-2H3
C6H12OOH3-4O2 InChI=1S/C6H13O4/c1-3-5(9-7)6(4-2)10-8/h5-7H,3-4H2,1-2H3
C6H12OOH3-4O InChI=1S/C6H13O3/c1-3-5(7)6(4-2)9-8/h5-6,8H,3-4H2,1-2H3
C6H12OOH3-5O2 InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h5-6,8H,3-4H2,1-2H3
C6H12OOH3-5O InChI=1S/C6H13O3/c1-3-6(9-8)4-5(2)7/h5-6,8H,3-4H2,1-2H3
C6H12OOH3-6O2 InChI=1S/C6H13O4/c1-2-6(10-8)4-3-5-9-7/h6,8H,2-5H2,1H3
C6H12OOH3-6O InChI=1S/C6H13O3/c1-2-6(9-8)4-3-5-7/h6,8H,2-5H2,1H3
C6H13-1 InChI=1S/C6H13/c1-3-5-6-4-2/h1,3-6H2,2H3
C6H13-2 InChI=1S/C6H13/c1-3-5-6-4-2/h3H,4-6H2,1-2H3
C6H13-3 InChI=1S/C6H13/c1-3-5-6-4-2/h5H,3-4,6H2,1-2H3
NC6H14 InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3
C6H12-1 InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3
C6H12-2 InChI=1S/C6H12/c1-3-5-6-4-2/h3,5H,4,6H2,1-2H3
C6H12OOH1-2 InChI=1S/C6H13O2/c1-2-3-4-5-6-8-7/h5,7H,2-4,6H2,1H3
C6H12OOH1-3 InChI=1S/C6H13O2/c1-2-3-4-5-6-8-7/h4,7H,2-3,5-6H2,1H3
C6H12OOH1-4 InChI=1S/C6H13O2/c1-2-3-4-5-6-8-7/h3,7H,2,4-6H2,1H3
C6H12OOH1-5 InChI=1S/C6H13O2/c1-2-3-4-5-6-8-7/h2,7H,3-6H2,1H3
C6H12OOH2-1 InChI=1S/C6H13O2/c1-3-4-5-6(2)8-7/h6-7H,2-5H2,1H3
C6H12OOH2-3 InChI=1S/C6H13O2/c1-3-4-5-6(2)8-7/h5-7H,3-4H2,1-2H3
C6H12OOH2-4 InChI=1S/C6H13O2/c1-3-4-5-6(2)8-7/h4,6-7H,3,5H2,1-2H3
C6H12OOH2-5 InChI=1S/C6H13O2/c1-3-4-5-6(2)8-7/h3,6-7H,4-5H2,1-2H3
C6H12OOH2-6 InChI=1S/C6H13O2/c1-3-4-5-6(2)8-7/h6-7H,1,3-5H2,2H3
C6H12OOH3-1 InChI=1S/C6H13O2/c1-3-5-6(4-2)8-7/h6-7H,2-5H2,1H3
C6H12OOH3-2 InChI=1S/C6H13O2/c1-3-5-6(4-2)8-7/h4,6-7H,3,5H2,1-2H3
C6H12OOH3-4 InChI=1S/C6H13O2/c1-3-5-6(4-2)8-7/h5-7H,3-4H2,1-2H3
C6H12OOH3-5 InChI=1S/C6H13O2/c1-3-5-6(4-2)8-7/h3,6-7H,4-5H2,1-2H3
C6H12OOH3-6 InChI=1S/C6H13O2/c1-3-5-6(4-2)8-7/h6-7H,1,3-5H2,2H3
C6H13OOH-1 InChI=1S/C6H14O2/c1-2-3-4-5-6-8-7/h7H,2-6H2,1H3
C6H13OOH-2 InChI=1S/C6H14O2/c1-3-4-5-6(2)8-7/h6-7H,3-5H2,1-2H3
C6H13OOH-3 InChI=1S/C6H14O2/c1-3-5-6(4-2)8-7/h6-7H,3-5H2,1-2H3
C6H12OH-1J2 InChI=1S/C6H13O/c1-2-3-4-5-6-7/h5,7H,2-4,6H2,1H3
C6H12OH-1O2-2 InChI=1S/C6H13O3/c1-2-3-4-6(5-7)9-8/h6-7H,2-5H2,1H3
C6H12OH-2J1 InChI=1S/C6H13O/c1-3-4-5-6(2)7/h6-7H,2-5H2,1H3
C6H12OH-2O2-1 InChI=1S/C6H13O3/c1-2-3-4-6(7)5-9-8/h6-7H,2-5H2,1H3
C6H12OH-2J3 InChI=1S/C6H13O/c1-3-4-5-6(2)7/h5-7H,3-4H2,1-2H3
C6H12OH-2O2-3 InChI=1S/C6H13O3/c1-3-4-6(9-8)5(2)7/h5-7H,3-4H2,1-2H3
C6H12OH-3J2 InChI=1S/C6H13O/c1-3-5-6(7)4-2/h4,6-7H,3,5H2,1-2H3
C6H12OH-3O2-2 InChI=1S/C6H13O3/c1-3-4-6(7)5(2)9-8/h5-7H,3-4H2,1-2H3
C6H12OH-3J4 InChI=1S/C6H13O/c1-3-5-6(7)4-2/h5-7H,3-4H2,1-2H3
C6H12OH-3O2-4 InChI=1S/C6H13O3/c1-3-5(7)6(4-2)9-8/h5-7H,3-4H2,1-2H3
C6H11OH1-1 InChI=1S/C6H12O/c1-2-3-4-5-6-7/h5-7H,2-4H2,1H3
C6H11OH1-2 InChI=1S/C6H12O/c1-2-3-4-5-6-7/h4-5,7H,2-3,6H2,1H3
C6H11OH2-1 InChI=1S/C6H12O/c1-3-4-5-6(2)7/h7H,2-5H2,1H3
C6H11OH2-2 InChI=1S/C6H12O/c1-3-4-5-6(2)7/h5,7H,3-4H2,1-2H3
C6H11OH2-3 InChI=1S/C6H12O/c1-3-4-5-6(2)7/h4-7H,3H2,1-2H3
C6H11OH3-2 InChI=1S/C6H12O/c1-3-5-6(7)4-2/h4,7H,3,5H2,1-2H3
C6H11OH3-1 InChI=1S/C6H12O/c1-3-5-6(7)4-2/h4,6-7H,2-3,5H2,1H3
C6D2Y1 InChI=1S/C6H10O/c1-2-3-4-5-6-7/h4-6H,2-3H2,1H3
C6H10D13 InChI=1S/C6H10/c1-3-5-6-4-2/h3,5-6H,1,4H2,2H3
C6H111-3 InChI=1S/C6H11/c1-3-5-6-4-2/h3,5H,1,4,6H2,2H3
C6H112-4 InChI=1S/C6H11/c1-3-5-6-4-2/h3,5-6H,4H2,1-2H3
NC5H10CHO-1 InChI=1S/C6H11O/c1-2-3-4-5-6-7/h5-6H,2-4H2,1H3
C6H111-4 InChI=1S/C6H11/c1-3-5-6-4-2/h3,6H,1,4-5H2,2H3
C6H111-5 InChI=1S/C6H11/c1-3-5-6-4-2/h3-4H,1,5-6H2,2H3
C6H111-6 InChI=1S/C6H11/c1-3-5-6-4-2/h3H,1-2,4-6H2
C6H111-1 InChI=1S/C6H11/c1-3-5-6-4-2/h1,3H,4-6H2,2H3
C6H111-2 InChI=1S/C6H11/c1-3-5-6-4-2/h1,4-6H2,2H3
C6H112-5 InChI=1S/C6H11/c1-3-5-6-4-2/h3-5H,6H2,1-2H3
C6H112-6 InChI=1S/C6H11/c1-3-5-6-4-2/h4,6H,1,3,5H2,2H3
C6H113-1 InChI=1S/C6H11/c1-3-5-6-4-2/h5-6H,1,3-4H2,2H3
C7H14-3 InChI=1S/C7H14/c1-3-5-7-6-4-2/h5,7H,3-4,6H2,1-2H3
I3C7D1 InChI=1S/C7H14/c1-4-6-7(3)5-2/h5,7H,2,4,6H2,1,3H3
I3C7D1-3 InChI=1S/C7H13/c1-4-6-7(3)5-2/h5H,2,4,6H2,1,3H3
I3C7D1-3O InChI=1S/C7H13O/c1-4-6-7(3,8)5-2/h5H,2,4,6H2,1,3H3
C6H12OH15 InChI=1S/C6H13O/c1-2-3-4-5-6-7/h2,7H,3-6H2,1H3
C6H12OH11 InChI=1S/C6H13O/c1-2-3-4-5-6-7/h6-7H,2-5H2,1H3
C6H12OH16 InChI=1S/C6H13O/c1-2-3-4-5-6-7/h7H,1-6H2
C6H12OH25 InChI=1S/C6H13O/c1-3-4-5-6(2)7/h3,6-7H,4-5H2,1-2H3
C6H12OH22 InChI=1S/C6H13O/c1-3-4-5-6(2)7/h7H,3-5H2,1-2H3
C6H12OH-5O2 InChI=1S/C6H13O3/c1-6(9-8)4-2-3-5-7/h6-7H,2-5H2,1H3
C6H12OH-6O2 InChI=1S/C6H13O3/c7-5-3-1-2-4-6-9-8/h7H,1-6H2
C6H12OH-1O2 InChI=1S/C6H13O3/c1-2-3-4-5-6(7)9-8/h6-7H,2-5H2,1H3
NC5H11CHO InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3
C6H12OH2-2O2 InChI=1S/C6H13O3/c1-3-4-5-6(2,7)9-8/h7H,3-5H2,1-2H3
C6Y2 InChI=1S/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3
C6H11OH1-4 InChI=1S/C6H12O/c1-2-3-4-5-6-7/h2-3,7H,4-6H2,1H3
C6H11OH1-5 InChI=1S/C6H12O/c1-2-3-4-5-6-7/h2,7H,1,3-6H2
C6H10OH1-4,3 InChI=1S/C6H11O/c1-2-3-4-5-6-7/h2-4,7H,5-6H2,1H3
C6H10OH1-4,3O InChI=1S/C6H11O2/c1-2-3-6(8)4-5-7/h2-3,6-7H,4-5H2,1H3
C6H10OH1-5,4 InChI=1S/C6H11O/c1-2-3-4-5-6-7/h2-3,7H,1,4-6H2
C6H10OH1-5,4O InChI=1S/C6H11O2/c1-2-6(8)4-3-5-7/h2,6-7H,1,3-5H2
C6H11OH1Q2-1 InChI=1S/C6H13O3/c1-2-3-4-6(5-7)9-8/h5-8H,2-4H2,1H3
C6H11OH1Q2-3 InChI=1S/C6H13O3/c1-2-3-4-6(5-7)9-8/h4,6-8H,2-3,5H2,1H3
C6H11OH1Q2-4 InChI=1S/C6H13O3/c1-2-3-4-6(5-7)9-8/h3,6-8H,2,4-5H2,1H3
C6H11OH1Q2-5 InChI=1S/C6H13O3/c1-2-3-4-6(5-7)9-8/h2,6-8H,3-5H2,1H3
C6H11OH1Q2-6 InChI=1S/C6H13O3/c1-2-3-4-6(5-7)9-8/h6-8H,1-5H2
C6H11OH1Q5-2 InChI=1S/C6H13O3/c1-6(9-8)4-2-3-5-7/h3,6-8H,2,4-5H2,1H3
C6H11OH1Q5-3 InChI=1S/C6H13O3/c1-6(9-8)4-2-3-5-7/h2,6-8H,3-5H2,1H3
C6H11OH1Q6-2 InChI=1S/C6H13O3/c7-5-3-1-2-4-6-9-8/h3,7-8H,1-2,4-6H2
C6H11OH1Q6-3 InChI=1S/C6H13O3/c7-5-3-1-2-4-6-9-8/h1,7-8H,2-6H2
C6H11OH1Q6-4 InChI=1S/C6H13O3/c7-5-3-1-2-4-6-9-8/h2,7-8H,1,3-6H2
C6H11OH2Q1-2 InChI=1S/C6H13O3/c1-2-3-4-6(7)5-9-8/h7-8H,2-5H2,1H3
C6H11OH2Q1-3 InChI=1S/C6H13O3/c1-2-3-4-6(7)5-9-8/h4,6-8H,2-3,5H2,1H3
C6H11OH2Q1-4 InChI=1S/C6H13O3/c1-2-3-4-6(7)5-9-8/h3,6-8H,2,4-5H2,1H3
C6H11OH2Q3-1 InChI=1S/C6H13O3/c1-3-4-6(9-8)5(2)7/h5-8H,2-4H2,1H3
C6H11OH2Q3-2 InChI=1S/C6H13O3/c1-3-4-6(9-8)5(2)7/h6-8H,3-4H2,1-2H3
C6H11OH2Q3-4 InChI=1S/C6H13O3/c1-3-4-6(9-8)5(2)7/h4-8H,3H2,1-2H3
C6H11OH2Q3-5 InChI=1S/C6H13O3/c1-3-4-6(9-8)5(2)7/h3,5-8H,4H2,1-2H3
C6H11OH2Q3-6 InChI=1S/C6H13O3/c1-3-4-6(9-8)5(2)7/h5-8H,1,3-4H2,2H3
C6H11OH3Q2-1 InChI=1S/C6H13O3/c1-3-4-6(7)5(2)9-8/h5-8H,2-4H2,1H3
C6H11OH3Q2-3 InChI=1S/C6H13O3/c1-3-4-6(7)5(2)9-8/h5,7-8H,3-4H2,1-2H3
C6H11OH3Q2-4 InChI=1S/C6H13O3/c1-3-4-6(7)5(2)9-8/h4-8H,3H2,1-2H3
C6H11OH3Q2-5 InChI=1S/C6H13O3/c1-3-4-6(7)5(2)9-8/h3,5-8H,4H2,1-2H3
C6H11OH1O1-2 InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8-5/h5-7H,2-4H2,1H3
C6H11OH1O2-3 InChI=1S/C6H12O2/c1-2-3-5-6(4-7)8-5/h5-7H,2-4H2,1H3
C6H11OH1O2-4 InChI=1S/C6H12O2/c1-2-5-3-6(4-7)8-5/h5-7H,2-4H2,1H3
C6H11OH1O2-5 InChI=1S/C6H12O2/c1-5-2-3-6(4-7)8-5/h5-7H,2-4H2,1H3
C6H11OH1O2-6 InChI=1S/C6H12O2/c7-5-6-3-1-2-4-8-6/h6-7H,1-5H2
C6H11OH1O3-5 InChI=1S/C6H12O2/c1-5-4-6(8-5)2-3-7/h5-7H,2-4H2,1H3
C6H11OH1O3-6 InChI=1S/C6H12O2/c7-4-3-6-2-1-5-8-6/h6-7H,1-5H2
C6H11OH1O4-6 InChI=1S/C6H12O2/c7-4-1-2-6-3-5-8-6/h6-7H,1-5H2
C6H11OH2O1-2 InChI=1S/C6H12O2/c1-2-3-4-6(7)5-8-6/h7H,2-5H2,1H3
C6H11OH2O1-3 InChI=1S/C6H12O2/c1-2-3-6-5(7)4-8-6/h5-7H,2-4H2,1H3
C6H11OH2O1-4 InChI=1S/C6H12O2/c1-2-6-3-5(7)4-8-6/h5-7H,2-4H2,1H3
C6H11OH2O3-6 InChI=1S/C6H12O2/c1-5(7)6-3-2-4-8-6/h5-7H,2-4H2,1H3
C6H11O1O2-5 InChI=1S/C6H11O2/c1-5-2-3-6(4-7)8-5/h5-6H,2-4H2,1H3
C6H10OH11O2-5 InChI=1S/C6H11O2/c1-5-2-3-6(4-7)8-5/h4-7H,2-3H2,1H3
MTHF-J5 InChI=1S/C5H9O/c1-5-3-2-4-6-5/h4-5H,2-3H2,1H3
DMTHFCHO InChI=1S/C6H10O2/c1-5-2-3-6(4-7)8-5/h4-6H,2-3H2,1H3
DMTHFCO InChI=1S/C6H9O2/c1-5-2-3-6(4-7)8-5/h5-6H,2-3H2,1H3
C6H10OH1O2-5-2J InChI=1S/C6H11O2/c1-5-2-3-6(4-7)8-5/h5,7H,2-4H2,1H3
C6H10OH1O2-5-5J InChI=1S/C6H11O2/c1-5-2-3-6(4-7)8-5/h6-7H,2-4H2,1H3
NC6KET2OH1-5 InChI=1S/C6H11O2/c1-2-3-4-6(8)5-7/h2,7H,3-5H2,1H3
NC6KET5OH1-2 InChI=1S/C6H11O2/c1-6(8)4-2-3-5-7/h3,7H,2,4-5H2,1H3
C6H10OH1O2-5-2O2 InChI=1S/C6H11O4/c1-5-2-3-6(4-7,9-5)10-8/h5,7H,2-4H2,1H3
C6H9OH1O2-5-D2 InChI=1S/C6H10O2/c1-5-2-3-6(4-7)8-5/h3,5,7H,2,4H2,1H3
DMTHFOH1D2-4J InChI=1S/C6H9O2/c1-5-2-3-6(4-7)8-5/h2-3,5,7H,4H2,1H3
DMTHFOH1D2-4 InChI=1S/C6H8O2/c1-5-2-3-6(4-7)8-5/h2-3,7H,4H2,1H3
DMTHFOH1D2-4-1J InChI=1S/C6H7O2/c1-5-2-3-6(4-7)8-5/h2-4,7H,1H3
DMTHFOH1D2-4-1OJ InChI=1S/C6H7O3/c1-4-2-3-5(9-4)6(7)8/h2-3,6-7H,1H3
MF25J InChI=1S/C5H5O/c1-5-3-2-4-6-5/h2-3H,1H3
P13DE1O4J InChI=1S/C5H5O/c1-2-3-4-5-6/h3-4H,1H3
C6H10OH1O2-5-6J InChI=1S/C6H11O2/c1-5-2-3-6(4-7)8-5/h5-7H,1-4H2
C6H10OH1O2-5-3J InChI=1S/C6H11O2/c1-5-2-3-6(4-7)8-5/h3,5-7H,2,4H2,1H3
C6H10OH1O2-5-4J InChI=1S/C6H11O2/c1-5-2-3-6(4-7)8-5/h2,5-7H,3-4H2,1H3
C6H11OH1Q2-3O2 InChI=1S/C6H13O5/c1-2-3-5(10-8)6(4-7)11-9/h5-7,9H,2-4H2,1H3
C6H11OH1Q2-4O2 InChI=1S/C6H13O5/c1-2-5(10-8)3-6(4-7)11-9/h5-7,9H,2-4H2,1H3
C6H11OH1Q2-5O2 InChI=1S/C6H13O5/c1-5(10-8)2-3-6(4-7)11-9/h5-7,9H,2-4H2,1H3
C6H11OH2Q1-3O2 InChI=1S/C6H13O5/c1-2-3-6(11-9)5(7)4-10-8/h5-8H,2-4H2,1H3
C6H11OH2Q1-4O2 InChI=1S/C6H13O5/c1-2-6(11-9)3-5(7)4-10-8/h5-8H,2-4H2,1H3
C6H103OH1Q2 InChI=1S/C6H12O3/c1-2-3-4-6(5-7)9-8/h3-4,6-8H,2,5H2,1H3
C6H104OH1Q2 InChI=1S/C6H12O3/c1-2-3-4-6(5-7)9-8/h2-3,6-8H,4-5H2,1H3
C6H105OH1Q2 InChI=1S/C6H12O3/c1-2-3-4-6(5-7)9-8/h2,6-8H,1,3-5H2
C6H103OH2Q1 InChI=1S/C6H12O3/c1-2-3-4-6(7)5-9-8/h3-4,6-8H,2,5H2,1H3
C6H104OH2Q1 InChI=1S/C6H12O3/c1-2-3-4-6(7)5-9-8/h2-3,6-8H,4-5H2,1H3
C6H94OH1Q2-3 InChI=1S/C6H11O3/c1-2-3-4-6(5-7)9-8/h2-4,6-8H,5H2,1H3
C6H94OH1-2,3OOH InChI=1S/C6H12O5/c1-2-3-5(10-8)6(4-7)11-9/h2-3,5-9H,4H2,1H3
C6H94OH1Q2-3O InChI=1S/C6H11O4/c1-2-3-5(8)6(4-7)10-9/h2-3,5-7,9H,4H2,1H3
C6H95OH1Q2-4 InChI=1S/C6H11O3/c1-2-3-4-6(5-7)9-8/h2-3,6-8H,1,4-5H2
C6H95OH1-2,4OOH InChI=1S/C6H12O5/c1-2-5(10-8)3-6(4-7)11-9/h2,5-9H,1,3-4H2
C6H95OH1Q2-4O InChI=1S/C6H11O4/c1-2-5(8)3-6(4-7)10-9/h2,5-7,9H,1,3-4H2
C6H94OH2Q1-3 InChI=1S/C6H11O3/c1-2-3-4-6(7)5-9-8/h2-4,6-8H,5H2,1H3
C6H94OH2-1,3OOH InChI=1S/C6H12O5/c1-2-3-6(11-9)5(7)4-10-8/h2-3,5-9H,4H2,1H3
C6H94OH2Q1-3O InChI=1S/C6H11O4/c1-2-3-5(7)6(8)4-10-9/h2-3,5-6,8-9H,4H2,1H3
C6H10OH1KET2-3 InChI=1S/C6H12O4/c1-2-3-6(10-9)5(8)4-7/h6-7,9H,2-4H2,1H3
C6H10OH1KET2-4 InChI=1S/C6H12O4/c1-2-6(10-9)3-5(8)4-7/h6-7,9H,2-4H2,1H3
C6H10OH1KET2-5 InChI=1S/C6H12O4/c1-5(10-9)2-3-6(8)4-7/h5,7,9H,2-4H2,1H3
C6H10OH2KET1-3 InChI=1S/C6H12O4/c1-2-3-6(10-9)5(8)4-7/h4-6,8-9H,2-3H2,1H3
C6H10OH2KET1-4 InChI=1S/C6H12O4/c1-2-6(10-9)3-5(8)4-7/h4-6,8-9H,2-3H2,1H3
C6H11-1D3O InChI=1S/C6H11O/c1-3-5-6(7)4-2/h4,6H,2-3,5H2,1H3
C6H11-2D1O InChI=1S/C6H11O/c1-2-3-4-5-6-7/h4-5H,2-3,6H2,1H3
C6H11-2D4O InChI=1S/C6H11O/c1-3-5-6(7)4-2/h3,5-6H,4H2,1-2H3
C6H11-3D2O InChI=1S/C6H11O/c1-3-4-5-6(2)7/h4-6H,3H2,1-2H3
C6H111O2-1 InChI=1S/C6H11O2/c1-2-3-4-5-6-8-7/h5-6H,2-4H2,1H3
C6H111O2-2 InChI=1S/C6H11O2/c1-3-4-5-6(2)8-7/h2-5H2,1H3
C6H10D14 InChI=1S/C6H10/c1-3-5-6-4-2/h3-4,6H,1,5H2,2H3
C6H101-5 InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H,1-2,5-6H2
C6H10D24 InChI=1S/C6H10/c1-3-5-6-4-2/h3-6H,1-2H3
C6H111O2-3 InChI=1S/C6H11O2/c1-3-5-6(4-2)8-7/h4,6H,2-3,5H2,1H3
C6H112O2-1 InChI=1S/C6H11O2/c1-2-3-4-5-6-8-7/h4-5H,2-3,6H2,1H3
C6H111O2-4 InChI=1S/C6H11O2/c1-3-5-6(4-2)8-7/h3,6H,1,4-5H2,2H3
C6H111O2-5 InChI=1S/C6H11O2/c1-3-4-5-6(2)8-7/h3,6H,1,4-5H2,2H3
C6H111O2-6 InChI=1S/C6H11O2/c1-2-3-4-5-6-8-7/h2H,1,3-6H2
C6H113O2-2 InChI=1S/C6H11O2/c1-3-4-5-6(2)8-7/h4-6H,3H2,1-2H3
C6H112O2-4 InChI=1S/C6H11O2/c1-3-5-6(4-2)8-7/h3,5-6H,4H2,1-2H3
C6H112O2-5 InChI=1S/C6H11O2/c1-3-4-5-6(2)8-7/h3-4,6H,5H2,1-2H3
C6H112O2-6 InChI=1S/C6H11O2/c1-2-3-4-5-6-8-7/h2-3H,4-6H2,1H3
C6H113O2-1 InChI=1S/C6H11O2/c1-2-3-4-5-6-8-7/h3-4H,2,5-6H2,1H3
C6H112OO1-3 InChI=1S/C6H11O2/c1-2-3-6-4-5-7-8-6/h4,6H,2-3,5H2,1H3
C6H111OO2-3 InChI=1S/C6H11O2/c1-3-4-6-5(2)7-8-6/h5-6H,2-4H2,1H3
C6H101OOH3-1 InChI=1S/C6H11O2/c1-3-5-6(4-2)8-7/h2,4,6-7H,3,5H2,1H3
C6H101OOH3-4 InChI=1S/C6H11O2/c1-3-5-6(4-2)8-7/h4-7H,2-3H2,1H3
C6H101OOH3-5 InChI=1S/C6H11O2/c1-3-5-6(4-2)8-7/h3-4,6-7H,2,5H2,1H3
C6H101OOH3-6 InChI=1S/C6H11O2/c1-3-5-6(4-2)8-7/h4,6-7H,1-3,5H2
C6H112OO1-4 InChI=1S/C6H11O2/c1-2-6-4-3-5-7-8-6/h3,6H,2,4-5H2,1H3
C6H111OO2-4 InChI=1S/C6H11O2/c1-3-6-4-5(2)7-8-6/h5-6H,2-4H2,1H3
C6H101OOH4-1 InChI=1S/C6H11O2/c1-3-5-6(4-2)8-7/h1,3,6-7H,4-5H2,2H3
C6H101OOH4-2 InChI=1S/C6H11O2/c1-3-5-6(4-2)8-7/h6-7H,1,4-5H2,2H3
C6H101OOH4-3 InChI=1S/C6H11O2/c1-3-5-6(4-2)8-7/h3,5-7H,1,4H2,2H3
C6H101OOH4-5 InChI=1S/C6H11O2/c1-3-5-6(4-2)8-7/h3-4,6-7H,1,5H2,2H3
C6H101OOH4-6 InChI=1S/C6H11O2/c1-3-5-6(4-2)8-7/h3,6-7H,1-2,4-5H2
C6H112OO1-5 InChI=1S/C6H11O2/c1-6-4-2-3-5-7-8-6/h3,6H,2,4-5H2,1H3
C6H111OO2-5 InChI=1S/C6H11O2/c1-5-3-4-6(2)8-7-5/h5-6H,1,3-4H2,2H3
C6H101OOH5-2 InChI=1S/C6H11O2/c1-3-4-5-6(2)8-7/h6-7H,1,4-5H2,2H3
C6H101OOH5-3 InChI=1S/C6H11O2/c1-3-4-5-6(2)8-7/h3-4,6-7H,1,5H2,2H3
C6H101OOH5-4 InChI=1S/C6H11O2/c1-3-4-5-6(2)8-7/h3,5-7H,1,4H2,2H3
C6H101OOH5-6 InChI=1S/C6H11O2/c1-3-4-5-6(2)8-7/h3,6-7H,1-2,4-5H2
C6H101OOH6-3 InChI=1S/C6H11O2/c1-2-3-4-5-6-8-7/h2-3,7H,1,4-6H2
C6H101OOH6-4 InChI=1S/C6H11O2/c1-2-3-4-5-6-8-7/h2,4,7H,1,3,5-6H2
C6H101OOH6-5 InChI=1S/C6H11O2/c1-2-3-4-5-6-8-7/h2,5,7H,1,3-4,6H2
C6H113OO1-2 InChI=1S/C6H11O2/c1-2-3-4-6-5-7-8-6/h4,6H,2-3,5H2,1H3
C6H103OOH1-2 InChI=1S/C6H11O2/c1-2-3-4-5-6-8-7/h3-5,7H,2,6H2,1H3
C6H102OOH4-5 InChI=1S/C6H11O2/c1-3-5-6(4-2)8-7/h3-7H,1-2H3
C6H102OOH4-6 InChI=1S/C6H11O2/c1-3-5-6(4-2)8-7/h3,5-7H,2,4H2,1H3
C6H113OO2-5 InChI=1S/C6H11O2/c1-5-3-4-6(2)8-7-5/h3,5-6H,4H2,1-2H3
C6H112OO3-5 InChI=1S/C6H11O2/c1-3-6-4-5(2)7-8-6/h3,5-6H,4H2,1-2H3
C6H11O2-3O-5 InChI=1S/C6H11O2/c1-4(7)3-6-5(2)8-6/h4-6H,3H2,1-2H3
C6H102OOH5-4 InChI=1S/C6H11O2/c1-3-4-5-6(2)8-7/h3-7H,1-2H3
C6H102OOH5-6 InChI=1S/C6H11O2/c1-3-4-5-6(2)8-7/h3-4,6-7H,2,5H2,1H3
C6H102OOH6-4 InChI=1S/C6H11O2/c1-2-3-4-5-6-8-7/h2-4,7H,5-6H2,1H3
C6H102OOH6-5 InChI=1S/C6H11O2/c1-2-3-4-5-6-8-7/h2-3,5,7H,4,6H2,1H3
C6H103OOH2-1 InChI=1S/C6H11O2/c1-3-4-5-6(2)8-7/h4-7H,2-3H2,1H3
C6H11O1-2O-3 InChI=1S/C6H11O2/c1-2-3-5(7)6-4-8-6/h5-6H,2-4H2,1H3
C6H11O2-3O-1 InChI=1S/C6H11O2/c1-2-3-5-6(4-7)8-5/h5-6H,2-4H2,1H3
C6H11O1-2O-4 InChI=1S/C6H11O2/c1-2-5(7)3-6-4-8-6/h5-6H,2-4H2,1H3
C6H11O1-2O-5 InChI=1S/C6H11O2/c1-5(7)2-3-6-4-8-6/h5-6H,2-4H2,1H3
C6H101-3,4OOH InChI=1S/C6H12O4/c1-3-5(9-7)6(4-2)10-8/h3,5-8H,1,4H2,2H3
C6H101O-3-4OOH InChI=1S/C6H11O3/c1-3-5(7)6(4-2)9-8/h3,5-6,8H,1,4H2,2H3
NC6D1KET34 InChI=1S/C6H10O3/c1-3-5(7)6(4-2)9-8/h3,6,8H,1,4H2,2H3
C6H101-3,5OOH InChI=1S/C6H12O4/c1-3-6(10-8)4-5(2)9-7/h3,5-8H,1,4H2,2H3
C6H101O-3-5OOH InChI=1S/C6H11O3/c1-3-6(7)4-5(2)9-8/h3,5-6,8H,1,4H2,2H3
NC6D1KET35 InChI=1S/C6H10O3/c1-3-6(7)4-5(2)9-8/h3,5,8H,1,4H2,2H3
C6H101-3,6OOH InChI=1S/C6H12O4/c1-2-6(10-8)4-3-5-9-7/h2,6-8H,1,3-5H2
